Column1,Column2,Column3
3029,2485,1813
3158,2485,1908
3599,2485,1908
3613,2555,1915
3718,2548,1915
3720,2960,1909
4281,2924,1899
4472,3090,1953
4623,3286,1899
4608,3410,1912
4584,3430,1887
4516,3385,1849
4504,3296,1799
4432,3168,1589
4358,3035,1432
4182,2879,1270
3802,2714,1098
3326,2151,917
2983,1981,709
2730,1511,583
2522,1367,471
2345,1230,384
2174,1107,445
2063,1075,400
1931,1003,370
1817,941,349
1750,965,338
1692,971,330
1937,1589,1038
2003,1999,1533
2209,2082,1667
2540,2733,2024
2733,2862,2165
2862,3011,2274
3018,3121,2329
2997,3346,2666
2993,3433,3145
3093,3586,3390
3127,3749,3461
3097,3756,3484
3238,3764,3511
3719,3773,3774
3744,3835,3764
3900,3794,3750
4016,3846,3665
4021,3884,3706
4154,3891,3707
4129,4094,3696
4101,4145,3685
4070,4221,3975
3987,4256,4014
3988,4307,4153
4245,4413,4257
4165,4415,4319
4074,4453,4565
3970,4320,4575
3911,4468,4672
3806,4706,4669
3815,4738,4786
3932,4826,4908
3850,4925,5025
4539,4875,5100
4430,5188,5132
4271,5199,5056
4215,5201,5120
4050,5195,5114
3864,5178,5139
3615,4990,5010
3337,4910,5048
2980,4753,4818
2618,4472,4686
2334,4356,4417
2051,4043,3930
1775,3886,3884
1496,3700,3887
1178,3458,3810
879,3283,3691
700,2849,3260
494,2699,3024
308,2342,2930
75,2016,2536
-184,1875,2334
-18,1770,1959
-145,1513,1896
124,1551,1322
-7,1471,1239
669,1346,783
791,1329,722
1021,1363,701
825,1411,715
825,1458,597
731,1476,630
663,1478,762
600,1413,828
537,1356,899
489,1313,985
399,1302,1075
277,1238,1353
123,1199,1312
-71,1181,1463
-178,1151,1474
-308,1096,1475
-428,855,1486
-546,816,1452
-652,776,1431
-456,733,1279
-279,654,1201
-49,652,1106
-41,794,1076
-94,787,1084
-4,781,1082
462,778,1081
468,773,1189
910,1355,1287
939,1438,1291
980,1440,1296
1002,1474,1300
1405,1513,1368
1507,1861,1392
1774,1919,1449
2076,2111,1521
2071,2253,1624
2602,2387,1658
2689,2787,1697
2721,2826,1803
2683,2902,1864
2932,3222,2039
2860,3383,2364
2784,3495,2468
2748,3608,2588
2806,3638,2655
2656,3637,2729
2691,3623,2810
2537,3578,2898
2361,3519,2968
2293,3519,3053
2190,3488,3144
2058,3392,3260
1970,3347,3340
1856,3219,3511
1800,3098,3542
1701,3042,3611
1593,2950,3614
1565,2859,3593
1499,2773,3582
1423,2697,3581
1395,2641,3521
1345,2572,3484
1309,2514,3442
1281,2489,3386
1260,2436,3375
1197,2419,3363
1142,2355,3291
922,2290,3340
577,2167,3272
546,1894,3265
153,1806,3208
-88,1595,3045
-359,1286,2974
-578,1127,2954
-590,854,2849
-603,796,2811
-613,769,2760
-624,710,2746
-609,687,2595
-613,664,2553
-574,641,2526
-578,618,2514
-578,610,2514
-578,623,2514
-578,741,2514
-619,814,2470
-684,802,2506
-711,802,2470
-754,802,2470
-890,802,2470
-915,802,2470
-1001,530,2470
-998,309,2055
-995,-191,1830
-992,-225,1365
-1002,-722,846
-982,-889,376
-834,-1032,-16
-744,-1058,-246
-672,-1104,-573
-568,-1118,-837
-391,-1134,-1003
-315,-1138,-1285
-100,-1289,-1578
138,-1553,-1780
379,-1525,-2005
621,-1561,-2057
880,-1751,-2470
1435,-1670,-2830
1852,-1539,-3185
2179,-1404,-3428
2534,-1082,-3362
2876,-767,-3273
3199,-395,-3160
3499,-128,-3024
3728,279,-2868
3584,710,-2567
3556,1007,-2330
3569,1295,-1985
3495,1515,-1593
3197,1741,-1152
3156,2035,-806
3083,2184,-488
2923,2327,-230
2869,2285,27
2657,2359,280
2539,2448,480
2353,2460,645
2202,2477,761
2010,2228,743
1788,2146,867
1652,1923,528
1418,1637,393
1179,1539,478
1027,1314,536
700,1299,402
449,858,451
-150,648,473
-326,350,474
-786,272,479
-1243,209,478
-1559,-64,502
-1945,-187,505
-2280,-308,495
-2546,-412,589
-2861,-515,745
-3101,-752,815
-3352,-808,968
-3866,-886,957
-4112,-954,1128
-4403,-1055,1171
-4504,-1140,1191
-4575,-1241,1183
-4635,-1327,1168
-4694,-1342,1152
-4752,-1388,1145
-4809,-1401,1145
-4514,-1433,892
-4435,-1427,843
-3983,-1151,780
-3309,-1096,236
-2908,-876,230
-2649,-783,-51
-1961,-548,-81
-1853,-525,-396
-1274,64,-453
-1090,54,-532
-862,43,-583
-693,31,-856
-492,15,-1088
-270,-6,-1223
-157,-223,-1443
0,-371,-1950
66,-782,-2228
161,-1054,-2518
223,-1220,-2653
221,-1529,-3024
212,-1763,-3312
155,-2099,-3712
111,-2318,-3932
166,-2506,-3938
136,-2685,-3988
176,-2849,-4000
34,-2972,-4009
-159,-3101,-4015
-328,-3110,-4015
-404,-2969,-3907
-496,-2742,-3680
-486,-2739,-3590
-439,-2447,-3508
-272,-2463,-3401
5,-2040,-3347
199,-2054,-3203
310,-1662,-2999
399,-1607,-2853
563,-1385,-2840
724,-1228,-2469
759,-854,-2314
779,-735,-2213
787,-445,-1955
792,-412,-1836
749,-174,-1618
747,-154,-1315
516,-7,-953
482,144,-941
38,194,-253
